Property,Element,Mean_Absolute_SHAP,Mean_SHAP,Correlation,Interpretation
Elongation,AL,2.0968329906463623,-0.08004695922136307,-0.7139388961791407,Higher values tend to push prediction downward
Elongation,FE,1.8026068210601807,-0.6884374618530273,0.27579373104115995,Higher values tend to push prediction upward
Elongation,CR,1.3611112833023071,-0.8605104684829712,-0.1843358831731573,Higher values tend to push prediction downward
Elongation,NI,1.2619000673294067,-0.06886296719312668,0.6199750856016216,Higher values tend to push prediction upward
Elongation,MN,0.9266303181648254,0.05639023333787918,-0.004587990908970183,Higher values tend to push prediction downward
Elongation,HF,0.8858105540275574,0.6778446435928345,0.4468743693871496,Higher values tend to push prediction upward
Elongation,MO,0.8462396264076233,-0.1853979080915451,-0.773407280929969,Higher values tend to push prediction downward
Elongation,CO,0.7035852074623108,-0.2853713929653168,0.3130439129183161,Higher values tend to push prediction upward
Elongation,NB,0.6321584582328796,0.04708101227879524,0.6078081744603496,Higher values tend to push prediction upward
Elongation,TA,0.5902190804481506,-0.17707638442516327,-0.25833065211880707,Higher values tend to push prediction downward
Elongation,CU,0.548507034778595,0.008495007641613483,-0.7230872826994943,Higher values tend to push prediction downward
Elongation,TI,0.4055365025997162,0.0637412816286087,0.11831381396547076,Higher values tend to push prediction upward
Elongation,ZR,0.3385430872440338,0.07289506494998932,-0.15525772669904087,Higher values tend to push prediction downward
Elongation,V,0.3308987021446228,0.10037121921777725,0.5036517388562421,Higher values tend to push prediction upward
Elongation,SI,0.13399168848991394,-0.08068038523197174,-0.917823122384663,Higher values tend to push prediction downward
Elongation,W,0.06903199106454849,-0.012528765015304089,-0.7283679314815544,Higher values tend to push prediction downward
Elongation,C,0.009957347996532917,0.005592138972133398,-0.7040881165717544,Higher values tend to push prediction downward
