Property,Element,Mean_Absolute_SHAP,Mean_SHAP,Correlation,Interpretation
Hardness,AL,43.709764257372605,-1.265972556077338,0.8380310927968916,Higher values tend to push prediction upward
Hardness,NI,13.507405595852147,-3.9294341828436457,-0.7362622328110479,Higher values tend to push prediction downward
Hardness,FE,11.57560011810127,-0.1939301467469172,-0.7597914003277809,Higher values tend to push prediction downward
Hardness,CO,7.671144659515937,-0.5125401589124723,0.4298957063487118,Higher values tend to push prediction upward
Hardness,MO,6.638016809865215,-1.127331552607968,0.7216669144473129,Higher values tend to push prediction upward
Hardness,TI,6.22619163273241,-0.9978676796390115,-0.48584782636496193,Higher values tend to push prediction downward
Hardness,CR,4.523486392205821,-0.3050503831567499,0.2069745920072518,Higher values tend to push prediction upward
Hardness,CU,4.366994653913988,-0.44511604037930247,-0.48826950373581635,Higher values tend to push prediction downward
Hardness,MN,3.6882747520625694,-0.04441381146692729,-0.6433229293888411,Higher values tend to push prediction downward
Hardness,HF,3.2178981970030587,-0.19912554421914885,-0.5676681841517388,Higher values tend to push prediction downward
Hardness,NB,3.018352688479882,1.0166172554296935,-0.6410570791267236,Higher values tend to push prediction downward
Hardness,V,2.357672698229747,0.4227282661567199,0.5834335529251422,Higher values tend to push prediction upward
Hardness,ZR,1.9180299745974898,0.05191300439419114,-0.4015352805465339,Higher values tend to push prediction downward
Hardness,SI,1.7870155369438112,-1.5566940117100054,0.3022290208223626,Higher values tend to push prediction upward
Hardness,TA,1.5343228134904126,0.13425309404937105,-0.17051565045129777,Higher values tend to push prediction downward
Hardness,W,0.5660129595836442,-0.1403286349856315,-0.1411043757057954,Higher values tend to push prediction downward
Hardness,B,0.45052882063837446,-0.45052882063837446,-0.06205178919154396,Higher values tend to push prediction downward
Hardness,C,0.17764371761635334,-0.11222024970913681,0.9731795933808416,Higher values tend to push prediction upward
