Property,Element,Mean_Absolute_SHAP,Mean_SHAP,Correlation,Interpretation
YS,MO,78.59248352050781,-17.871109008789062,0.8754869386573281,Higher values tend to push prediction upward
YS,AL,49.0460090637207,4.520689964294434,0.784867087319979,Higher values tend to push prediction upward
YS,NI,46.97385025024414,-4.542854309082031,-0.6074439709224702,Higher values tend to push prediction downward
YS,TI,45.16773223876953,17.091529846191406,0.5185566415504409,Higher values tend to push prediction upward
YS,CO,39.703941345214844,-9.483705520629883,-0.7533337866562401,Higher values tend to push prediction downward
YS,CR,32.68925857543945,21.765127182006836,0.7249423584161055,Higher values tend to push prediction upward
YS,NB,32.32905578613281,1.6204479932785034,0.7627293293699496,Higher values tend to push prediction upward
YS,MN,28.19134521484375,-15.642106056213379,-0.9355866518823296,Higher values tend to push prediction downward
YS,V,20.017641067504883,-4.507872104644775,0.7781439303538629,Higher values tend to push prediction upward
YS,FE,19.184810638427734,8.078106880187988,-0.600713365508973,Higher values tend to push prediction downward
YS,ZR,14.809755325317383,-6.199161052703857,0.8258021473517243,Higher values tend to push prediction upward
YS,TA,10.441710472106934,-0.6762300729751587,0.6694999334132002,Higher values tend to push prediction upward
YS,SI,9.061089515686035,-3.726438045501709,0.966210054873217,Higher values tend to push prediction upward
YS,CU,8.39862060546875,0.4636566936969757,-0.7814638219389177,Higher values tend to push prediction downward
YS,C,4.289328098297119,-0.821342945098877,-0.9383512149768192,Higher values tend to push prediction downward
YS,W,2.6001741886138916,1.4722000360488892,0.23579102438554636,Higher values tend to push prediction upward
YS,HF,2.2043373584747314,1.7217189073562622,-0.014859892004643811,Higher values tend to push prediction downward
