candidate_id,Novelty_35D_Percentile,Novelty_35D_Score,Discovery_35D_Rank,Discovery_35D_Score
CAND_03278,97.36,0.6550202263148153,1,0.7120695043215308
CAND_04351,38.86,0.33475545399958523,2,0.7118519111692743
CAND_02851,74.36,0.45502856769070527,3,0.7071718733272119
CAND_02729,99.53999999999999,0.7780369423262696,4,0.705169129131217
CAND_01568,69.8,0.434541692302079,5,0.7022659323386792
CAND_01908,93.76,0.582974981876809,6,0.697880578615987
CAND_02578,25.1,0.2910226893065394,7,0.688393877658391
CAND_03678,94.02000000000001,0.586500128992328,8,0.6866355813870553
CAND_01246,49.980000000000004,0.3691856599911005,9,0.6857351436319428
CAND_02875,54.50000000000001,0.3834851045640023,10,0.6853252362443143
CAND_01687,31.819999999999997,0.31355585317283474,11,0.6843815359459278
CAND_02156,26.279999999999998,0.29558064517043503,12,0.6837036174234268
CAND_03613,88.36,0.5298600805789486,13,0.6822884066417849
CAND_00360,97.6,0.6594626314082217,14,0.6816511344863604
CAND_00792,72.78,0.4473498859821851,15,0.6768467991478961
CAND_02712,93.97999999999999,0.5860514696765666,16,0.6694224113645386
CAND_03577,2.5,0.1335656665674286,17,0.667395875246807
CAND_03379,90.8,0.5523764459786938,18,0.6668704393899845
CAND_01212,3.66,0.1532138306197613,19,0.6664513187179786
CAND_02137,29.020000000000003,0.30510460107404963,20,0.6624555884556577
CAND_00029,71.36,0.4406870828355565,21,0.6588044462973905
CAND_03633,55.7,0.3863452011126908,22,0.6579361130069674
CAND_02697,50.12,0.3695522729440444,23,0.6551727838177934
CAND_02500,22.46,0.28032590635244875,24,0.654783225238753
CAND_03794,58.3,0.39503306592538157,25,0.6536942352486409
CAND_02477,81.2,0.48679184964949046,26,0.6534460792802831
CAND_01463,86.92,0.5206745135880297,27,0.6528432828433393
CAND_04782,78.94,0.4756418554931424,28,0.6511298805187364
CAND_01922,86.44,0.5176598040400687,29,0.6491664875465445
CAND_04973,51.980000000000004,0.3750825677456091,30,0.6480235141563073
CAND_00720,93.30000000000001,0.5777614575613337,31,0.6440489101747237
CAND_02378,90.58,0.5504997001552642,32,0.6433841593194545
CAND_02215,97.98,0.6722199913373735,33,0.6432736841326022
CAND_02559,96.72,0.6358002124605328,34,0.6406726722492865
CAND_02706,99.66000000000001,0.8040813349054632,35,0.6397638995336519
CAND_00486,99.0,0.7103004283620573,36,0.6388683240585168
CAND_02928,69.44,0.4331536891063725,37,0.6381670057409106
CAND_02513,21.34,0.2755568647044313,38,0.638018011786019
CAND_00345,75.33999999999999,0.45946438898777636,39,0.6378079824711912
CAND_02086,67.80000000000001,0.4268787516836148,40,0.6375152482084647
CAND_03059,98.4,0.6866931208642832,41,0.6371554491214165
CAND_00174,78.82000000000001,0.47527508135694446,42,0.6369590023119749
CAND_01949,94.06,0.5868886004022956,43,0.6360886709607159
CAND_04521,73.61999999999999,0.45127221477466656,44,0.6356759566359282
CAND_01690,94.66,0.5980137782828537,45,0.6354702537580201
CAND_02730,69.48,0.43343437948388375,46,0.6354386275805303
CAND_03489,68.17999999999999,0.42794427531345297,47,0.6340877820423976
CAND_03746,35.199999999999996,0.3245318178711229,48,0.6336206290944532
CAND_01704,76.3,0.4635745511391565,49,0.6336092931549729
CAND_04367,17.34,0.2576975436200508,50,0.632983611314546
CAND_00748,49.64,0.36758400221204,51,0.6323148485432601
CAND_04343,80.32000000000001,0.4825438641392661,52,0.6321149267197593
CAND_00234,21.92,0.2781615612408853,53,0.6320487826740651
CAND_00288,93.74,0.582894198034442,54,0.6318989700789404
CAND_04680,94.14,0.5893250693993507,55,0.6318062580299171
CAND_00569,70.17999999999999,0.43644008678815155,56,0.631570150464026
CAND_00931,61.9,0.4064515564296319,57,0.6313624812538792
CAND_03639,58.379999999999995,0.3954163041102196,58,0.6312262002668325
CAND_04268,63.4,0.4119720054702488,59,0.6298175292610206
CAND_00187,40.62,0.34012548886479227,60,0.6285213893490208
CAND_02080,89.84,0.5427288440146424,61,0.6283770439773527
CAND_03443,17.46,0.25810724666502355,62,0.6283598100267413
CAND_04332,43.62,0.3485179597229497,63,0.6283506512502377
CAND_02849,86.24000000000001,0.515733705491762,64,0.6280765906031802
CAND_03703,69.54,0.43361046064240755,65,0.6273607664160676
CAND_00237,63.739999999999995,0.4133050038063209,66,0.626098892335201
CAND_02022,8.52,0.20746008462810794,67,0.6257424992745604
CAND_00146,38.1,0.3327151035324549,68,0.6253217214870721
CAND_02476,25.119999999999997,0.2910630363114073,69,0.6249235919231344
CAND_00186,99.76,0.8215425495746536,70,0.6248904725187319
CAND_04389,54.24,0.3824519718955325,71,0.6242583327393934
CAND_02311,96.88,0.6408554431424134,72,0.6234993138458269
CAND_04203,80.82000000000001,0.4846056750289962,73,0.623059349542469
CAND_03250,9.92,0.21769854444971162,74,0.6229920711368814
CAND_01134,52.22,0.375842588897778,75,0.6229003892050075
CAND_00790,57.940000000000005,0.393641225581688,76,0.6228363547572306
CAND_02592,97.16,0.6514295150164935,77,0.6220785646660689
CAND_03366,88.94,0.5337830623355422,78,0.6214327863186823
CAND_01556,19.38,0.26790535402254784,79,0.62097410969013
CAND_03139,6.64,0.18956208636866584,80,0.620747439774585
CAND_00533,90.72,0.5518352777662412,81,0.6207018101894987
CAND_04510,57.99999999999999,0.39371587383321593,82,0.6203313805424013
CAND_04388,15.740000000000002,0.24896420612808032,83,0.6201893388533584
CAND_04816,99.28,0.7430951351226478,84,0.6201419884413911
CAND_04069,69.67999999999999,0.43422118506942503,85,0.6200643752831021
