candidate_id,composition,n_elements,Al,Co,Cr,Cu,Fe,Mn,Mo,Nb,Ni,Ti,V,W,composition_sum,valid_composition,Predicted_YS_MPa,Predicted_UTS_MPa,Predicted_Elongation_pct,Predicted_Hardness_HV,UTS_to_YS_Ratio,UTS_YS_Consistency,YS_Score,UTS_Score,Elongation_Score,Hardness_Score,Balanced_Score,Pareto_Optimal,Overall_Rank,YS_Ensemble_Mean_MPa,YS_Uncertainty_STD_MPa,YS_Relative_Uncertainty,Uncertainty_Risk,Predicted_YS_MPa_Normalized,Predicted_UTS_MPa_Normalized,Predicted_Elongation_pct_Normalized,Predicted_Hardness_HV_Normalized,Performance_Score,Uncertainty_Penalty,Uncertainty_Aware_Score,Final_Rank,Nearest_Experimental_Distance,Nearest_Experimental_Record_ID,Nearest_Experimental_Alloy,Nearest_Experimental_Composition,Novelty_Percentile,Novelty_Score,Discovery_Score,Discovery_Rank,Novelty_Category
CAND_02729,Al36.20Fe9.50Mo9.71W44.59,4,36.2,0.0,0.0,0.0,9.5,0.0,9.71,0.0,0.0,0.0,0.0,44.59,100.0,True,800.00836,1519.279,47.581757,537.372,1.899078900313618,True,0.369182,0.745084265421957,0.5073691296632968,0.715848918864284,0.5684995015294445,False,563,1415.9748453776042,179.43989231089705,0.1267253390105563,Low,0.3691819786947822,0.745084265421957,0.5073691296632968,0.715848918864284,0.5843710731610801,0.1267253390105563,0.5186455411344975,209,14.603922682962395,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,99.92,0.9528407741415422,0.7488700870850351,1,Extreme
CAND_03577,Al43.94Co18.64Cr30.43W6.99,4,43.94,18.64,30.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99,100.0,True,945.67615,1799.2856,63.378998,669.9723333333334,1.902644583804861,True,0.49066475,0.9649798603549816,0.789913068760795,1.0,0.7841716623189023,False,2,1338.0238810221354,265.9985461982956,0.1987995505693781,High,0.4906647532026274,0.9649798603549816,0.789913068760795,1.0,0.811389420579601,0.1987995505693781,0.6768349389138709,1,4.699953347935303,R01128,Al1 Co0.512 Cr0.581 Fe0.116 Ni0.116,Al:43.0108;Co:22.0215;Cr:24.9892;Fe:4.9892;Ni:4.9892,61.3,0.283775048537489,0.7049482207393221,2,High
CAND_04351,Al32.90Cr29.10Nb18.03Ti10.80W9.17,5,32.9,0.0,29.1,0.0,0.0,0.0,0.0,18.03,0.0,10.8,0.0,9.17,100.0,True,1200.7443,1791.2363,58.198544,523.1571333333334,1.4917716916499848,True,0.7033843,0.9586585607417066,0.6972572765580053,0.6853876852459672,0.7757353391115014,False,3,1362.0655395507813,219.05781719943965,0.1608276627214916,Medium,0.7033843019140019,0.9586585607417066,0.6972572765580053,0.6853876852459672,0.7611719561149203,0.1608276627214916,0.6557148666929575,3,4.902150164638316,R01592,Al1 Co1 Cr0.091 Nb0.727 W0.212,Al:33.0033;Co:33.0033;Cr:3.0033;Nb:23.9934;W:6.9967,64.64,0.297434517312678,0.7025216769975474,3,High
CAND_00345,Al22.04Cr11.66Nb18.71Ti8.18W39.41,5,22.04,0.0,11.66,0.0,0.0,0.0,0.0,18.71,0.0,8.18,0.0,39.41,100.0,True,1174.6176,1603.441,45.691566,381.3767,1.3650749513612257,True,0.6815953,0.8111786112722092,0.4735618331368565,0.3815644413459498,0.6234573144494573,False,235,1464.9487386067708,170.50245469173024,0.1163880006162436,Low,0.6815953806656317,0.8111786112722092,0.4735618331368565,0.3815644413459498,0.5869750666051619,0.1163880006162436,0.5257805227941835,180,10.090557409765015,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,96.96000000000001,0.6479389808021669,0.6849266304247889,4,Extreme
CAND_01246,Al18.51Co8.78Cr22.40Nb27.35Ti10.61W12.35,6,18.51,8.78,22.4,0.0,0.0,0.0,0.0,27.35,0.0,10.61,0.0,12.35,100.0,True,1210.4055,1743.1118,51.998413,369.851,1.4401056296304364,True,0.7114415,0.9208652888747066,0.5863638974128424,0.3568658600263006,0.6898129010428984,False,27,1536.591707356771,144.12865661794424,0.0937976275206332,Low,0.7114414666521722,0.9208652888747066,0.5863638974128424,0.3568658600263006,0.6438841282415055,0.0937976275206332,0.5886684264446893,24,5.179927493690993,R01592,Al1 Co1 Cr0.091 Nb0.727 W0.212,Al:33.0033;Co:33.0033;Cr:3.0033;Nb:23.9934;W:6.9967,69.28,0.31619985108261306,0.6724886914048209,5,High
CAND_01568,Al30.25Cr30.90Nb9.66Ti8.48W20.71,5,30.25,0.0,30.9,0.0,0.0,0.0,0.0,9.66,0.0,8.48,0.0,20.71,100.0,True,1156.1299,1824.3159,53.32445,499.2757333333333,1.57795064994083,True,0.66617715,0.9846367281211416,0.6100809323918637,0.6342119041717531,0.7428961891967383,False,4,1334.12333984375,218.20715269391428,0.1635584553370232,Medium,0.6661771671383399,0.9846367281211416,0.6100809323918637,0.6342119041717529,0.7237766829557746,0.1635584553370232,0.6220372338286464,7,4.907433687157405,R00957,Cr1 Fe1 Ni1 V0.5 W1,Cr:22.2222;Fe:22.2222;Ni:22.2222;V:11.1111;W:22.2222,64.72,0.29779144731805246,0.6680783710926727,6,High
CAND_02592,Al21.36Cu6.68Fe10.81Ni5.97Ti12.55W42.63,6,21.36,0.0,0.0,6.68,10.81,0.0,0.0,0.0,5.97,12.55,0.0,42.63,100.0,True,1078.4211,1385.5215,44.81098,376.642,1.2847684872791962,True,0.6013703,0.6400414377198458,0.4578119792760393,0.3714183874859548,0.5425892697442688,False,837,1530.949462890625,185.48104012022424,0.1211542540209085,Low,0.6013702484113157,0.6400414377198458,0.4578119792760393,0.3714183874859548,0.5176605132232889,0.1211542540209085,0.4617210445099332,614,12.864986144924904,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,99.18,0.8353663760245501,0.6680627799180829,7,Extreme
CAND_03278,Al44.26Co7.90Fe5.77Ti11.73W30.34,5,44.26,7.9,0.0,0.0,5.77,0.0,0.0,0.0,0.0,11.73,0.0,30.34,100.0,True,1004.5146,1442.4021,44.239113,623.022,1.4359195158429956,True,0.53973436,0.6847110754253405,0.4475837657025509,0.8993894838649307,0.6141379956997519,False,272,1454.7879150390625,202.5838864878641,0.1392532096215719,Low,0.5397343392363081,0.6847110754253405,0.4475837657025509,0.8993894838649307,0.6428546660572825,0.1392532096215719,0.5642772481376821,54,7.4633862470910355,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,92.58,0.47045961664219077,0.6659293519033748,8,Extreme
CAND_02851,Al31.60Cr27.80Fe9.82Ti11.11W19.67,5,31.6,0.0,27.8,0.0,9.82,0.0,0.0,0.0,0.0,11.11,0.0,19.67,100.0,True,1160.3707,1783.2567,52.322704,510.22673333333336,1.536799108834783,True,0.6697139,0.9523919981345124,0.5921640530573545,0.6576789529437564,0.7333246448657306,False,122,1419.4601114908853,225.2833505151268,0.1587105891115936,Medium,0.6697138731605352,0.9523919981345124,0.5921640530573545,0.6576789529437564,0.7179872193240396,0.1587105891115936,0.619643270779578,9,4.644926313903424,R00957,Cr1 Fe1 Ni1 V0.5 W1,Cr:22.2222;Fe:22.2222;Ni:22.2222;V:11.1111;W:22.2222,60.38,0.2800576801564936,0.6634291514436589,9,High
CAND_00360,Al36.19Fe14.32Nb14.13W35.36,4,36.19,0.0,0.0,0.0,14.32,0.0,0.0,14.13,0.0,0.0,0.0,35.36,100.0,True,1018.3706,1538.9116,42.33925,520.262,1.5111508440403658,True,0.55128986,0.7605021957746062,0.4136034791597557,0.6791836641396949,0.5988160380536678,False,333,1374.7161743164063,185.7520728657753,0.135120307985132,Low,0.5512898473110904,0.7605021957746062,0.4136034791597557,0.6791836641396949,0.6011447965962868,0.135120307985132,0.5295868573291006,167,8.99457717640783,R01773,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,95.67999999999999,0.5738996956152224,0.6602604005381105,10,Extreme
