candidate_id,composition,n_elements,Al,Co,Cr,Cu,Fe,Mn,Mo,Nb,Ni,Ti,V,W,composition_sum,valid_composition,Predicted_YS_MPa,Predicted_UTS_MPa,Predicted_Elongation_pct,Predicted_Hardness_HV,UTS_to_YS_Ratio,UTS_YS_Consistency,YS_Score,UTS_Score,Elongation_Score,Hardness_Score,Balanced_Score,Pareto_Optimal,Overall_Rank,YS_Ensemble_Mean_MPa,YS_Uncertainty_STD_MPa,YS_Relative_Uncertainty,Uncertainty_Risk,Predicted_YS_MPa_Normalized,Predicted_UTS_MPa_Normalized,Predicted_Elongation_pct_Normalized,Predicted_Hardness_HV_Normalized,Performance_Score,Uncertainty_Penalty,Uncertainty_Aware_Score,Final_Rank,Novelty_35D_Distance,Nearest_Experimental_Record_ID,Nearest_Experimental_Alloy,Nearest_Experimental_Composition,Novelty_35D_Percentile,Novelty_35D_Score,Discovery_35D_Score,Discovery_35D_Rank,Novelty_35D_Category
CAND_02729,Al36.20Fe9.50Mo9.71W44.59,4,36.2,0.0,0.0,0.0,9.5,0.0,9.71,0.0,0.0,0.0,0.0,44.59,100.0,True,800.00836,1519.279,47.581757,537.372,1.899078900313618,True,0.369182,0.745084265421957,0.5073691296632968,0.715848918864284,0.5684995015294445,False,563,1415.9748453776042,179.43989231089705,0.1267253390105563,Low,0.3691819786947822,0.745084265421957,0.5073691296632968,0.715848918864284,0.5843710731610801,0.1267253390105563,0.5186455411344975,209,6.257585309582771,R00957,Cr1 Fe1 Ni1 V0.5 W1,Cr:22.2222;Fe:22.2222;Ni:22.2222;V:11.1111;W:22.2222,99.53999999999999,0.7780369423262696,0.705169129131217,4,Extreme
CAND_01908,Al40.59Cu17.92Nb19.50W21.99,4,40.59,0.0,0.0,17.92,0.0,0.0,0.0,19.5,0.0,0.0,0.0,21.99,100.0,True,930.7706,1483.8318,45.463417,581.232,1.59419705818051,True,0.47823396,0.7172467675461572,0.4694812397496216,0.8098371171238096,0.5974901056858549,False,338,1358.0233805338542,155.05257102200025,0.1141751852321182,Low,0.4782339504179801,0.7172467675461572,0.4694812397496216,0.8098371171238096,0.6186997687093921,0.1141751852321182,0.5552984637514586,74,4.806489999816163,R00400,Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,Al:42.8816;Co:14.2796;Cr:14.2796;Cu:14.2796;Fe:14.2796,93.76,0.582974981876809,0.697880578615987,6,Extreme
CAND_03678,Al43.29Ni6.76Ti27.82W22.13,4,43.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76,27.82,0.0,22.13,100.0,True,954.20514,1476.86,47.24704,616.808,1.547738467746944,True,0.49777773,0.7117716533568701,0.501382498221585,0.8860734176546093,0.6211214612193003,False,249,1370.98544921875,210.288852113032,0.153385181609961,Low,0.4977776871528828,0.7117716533568701,0.501382498221585,0.8860734176546093,0.6492513140964867,0.153385181609961,0.5629093597251047,59,4.832714100270092,R00101,Al2CoCrFeNiTi,Al:28.5714;Co:14.2857;Cr:14.2857;Fe:14.2857;Ni:14.2857;Ti:14.2857,94.02000000000001,0.586500128992328,0.6866355813870553,8,Extreme
CAND_03613,Al40.86Cr5.87Cu18.13Nb13.69W21.45,5,40.86,0.0,5.87,18.13,0.0,0.0,0.0,13.69,0.0,0.0,0.0,21.45,100.0,True,952.45917,1495.3218,41.934822,585.684,1.5699589557792388,True,0.49632165,0.7262701276590277,0.4063700211020276,0.8193773692590445,0.591276649430326,False,376,1383.1501953125,153.1969172215096,0.1107594227587823,Low,0.4963215980627177,0.7262701276590277,0.4063700211020276,0.8193773692590445,0.6120847790207044,0.1107594227587823,0.5510507194262421,89,4.4113602473290765,R00400,Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,Al:42.8816;Co:14.2796;Cr:14.2796;Cu:14.2796;Fe:14.2796,88.36,0.5298600805789486,0.6822884066417849,13,Very High
CAND_00360,Al36.19Fe14.32Nb14.13W35.36,4,36.19,0.0,0.0,0.0,14.32,0.0,0.0,14.13,0.0,0.0,0.0,35.36,100.0,True,1018.3706,1538.9116,42.33925,520.262,1.5111508440403658,True,0.55128986,0.7605021957746062,0.4136034791597557,0.6791836641396949,0.5988160380536678,False,333,1374.7161743164063,185.7520728657753,0.135120307985132,Low,0.5512898473110904,0.7605021957746062,0.4136034791597557,0.6791836641396949,0.6011447965962868,0.135120307985132,0.5295868573291006,167,5.375493147505034,R00957,Cr1 Fe1 Ni1 V0.5 W1,Cr:22.2222;Fe:22.2222;Ni:22.2222;V:11.1111;W:22.2222,97.6,0.6594626314082217,0.6816511344863604,14,Extreme
CAND_02712,Al32.79Cu6.27Mn6.88Ni18.69Ti10.30W25.07,6,32.79,0.0,0.0,6.27,0.0,6.88,0.0,0.0,18.69,10.3,0.0,25.07,100.0,True,1015.84656,1474.9929,56.744392,471.7985333333334,1.4519839526353324,True,0.54918486,0.7103053769716012,0.671248821402671,0.5753306337381775,0.6319588771030334,False,215,1415.5148274739583,213.8085015806629,0.1510464584551279,Medium,0.5491848700737151,0.7103053769716012,0.671248821402671,0.5753306337381775,0.6265174255465412,0.1510464584551279,0.5443024657644305,106,4.82937645602985,R00957,Cr1 Fe1 Ni1 V0.5 W1,Cr:22.2222;Fe:22.2222;Ni:22.2222;V:11.1111;W:22.2222,93.97999999999999,0.5860514696765666,0.6694224113645386,16,Extreme
CAND_03379,Al31.77Co16.08Cu10.90Ti17.88W23.37,5,31.77,16.08,0.0,10.9,0.0,0.0,0.0,0.0,0.0,17.88,0.0,23.37,100.0,True,962.15344,1502.3307,56.844307,511.4007333333334,1.5614252715028658,True,0.50440633,0.7317743773278786,0.6730358662211257,0.6601947337179626,0.6381423926824713,False,201,1328.2458902994792,211.03922274678743,0.1588856583619502,Medium,0.5044063422359366,0.7317743773278786,0.6730358662211257,0.6601947337179626,0.6423528298757258,0.1588856583619502,0.5542849074374362,81,4.578862881616538,R01592,Al1 Co1 Cr0.091 Nb0.727 W0.212,Al:33.0033;Co:33.0033;Cr:3.0033;Nb:23.9934;W:6.9967,90.8,0.5523764459786938,0.6668704393899845,18,Extreme
CAND_01463,Al42.51Cr5.71Cu19.34Mo12.26W20.18,5,42.51,0.0,5.71,19.34,0.0,0.0,12.26,0.0,0.0,0.0,0.0,20.18,100.0,True,735.1536,1431.2947,48.668716,614.198,1.946932791155521,True,0.315095,0.6759881798537394,0.5268100989754366,0.8804804126966211,0.561099544320466,False,629,1304.9958821614584,166.66334245018564,0.1277117765108514,Low,0.3150949620328253,0.6759881798537394,0.5268100989754366,0.8804804126966211,0.5995934133896557,0.1277117765108514,0.5316903005525065,153,4.343027430682732,R00400,Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,Al:42.8816;Co:14.2796;Cr:14.2796;Cu:14.2796;Fe:14.2796,86.92,0.5206745135880297,0.6528432828433393,27,Very High
CAND_00720,Al30.51Mo6.81Nb29.40W33.28,4,30.51,0.0,0.0,0.0,0.0,0.0,6.81,29.4,0.0,0.0,0.0,33.28,100.0,True,859.8485,1526.9744,48.352394,505.8753333333333,1.775864446961681,True,0.41908696,0.7511276392611723,0.521152474083647,0.6483542779344881,0.5786056408709292,False,473,1288.9090576171875,178.60195589337184,0.1385683146827706,Low,0.4190869455658927,0.7511276392611723,0.521152474083647,0.6483542779344881,0.5849303342113,0.1385683146827706,0.5137419746080621,231,4.767705807018611,R01772,Cr1 Nb1 Ti1 W1,Cr:25.0000;Nb:25.0000;Ti:25.0000;W:25.0000,93.30000000000001,0.5777614575613337,0.6440489101747237,31,Extreme
CAND_02378,Al33.74Cr8.89Cu9.49Mo11.20V16.37W20.31,6,33.74,0.0,8.89,9.49,0.0,0.0,11.2,0.0,0.0,0.0,16.37,20.31,100.0,True,1135.2443,1017.4338,50.66941,507.33973333333336,0.8962245689613922,False,0.6487591,0.3509737379619521,0.562593813592991,0.6514923608695372,0.5382921758569231,False,889,1472.5075520833334,154.15393825710072,0.1046880459383726,Low,0.6487591735293132,0.3509737379619521,0.562593813592991,0.6514923608695372,0.5534547714884483,0.1046880459383726,0.5010054861400429,293,4.564901486705261,R01057,Cr1 Mo1 Nb1 Ta1 V1 W1,Cr:16.6667;Mo:16.6667;Nb:16.6667;Ta:16.6667;V:16.6667;W:16.6667,90.58,0.5504997001552642,0.6433841593194545,32,Extreme
